L-lactate,citrate,deoxyuridine,X3.Methyl.2.oxovaleric.acid,X3.Methylcytidine,trans-4-hydroxy-L-proline,X2.Deoxyuridine,adenine,adenosine,alanine,alpha.Aminoadipic.acid,AKG,arginine,asparagine,aspartate,cis-aconitate,citrulline,L-cystathionine,cytidine,Dihydroxyacetone.phosphate,Erythrol,F6P.G1P,fumarate,Gluconate,glutamate,glutamine,glycine,guanosine,Hexose,histidine,homoserine,Hydroxyglutaric.acid,inosine,isocitrate,Isoleucine.Leucine,Ketoisovalerate,malate,Mannitol,methionine,Methionine.sulfone,Mevalonic.acid,N.Acetyl.L.aspartic.acid,N.Acetyl.serine,N4.Acetylcytidine,nicotinamide,ornithine,Pentose.phosphate,phenylalanine,creatine,Pseudouridine,pyruvate,Ribose,sarcosine,serine,succinate,threonine,thymidine,thymine,TMP,trehalose,tryptophan,tyrosine,uracil,uridine,xanthine,glucose,time,group
True,False,None,X,X,X,X,None,None,True,X,None,True,True,True,TCA,False,X,None,X,X,X,TCA,X,True,True,False,None,X,True,False,X,None,TCA,X,X,TCA,X,True,X,X,X,X,X,True,None,X,True,False,X,None,X,True,True,True,True,None,None,X,True,True,True,None,None,TCA,True,,
5072800,34104,238.78,18771,202.94,82569,130220,-52681,88805,444480,2712.7,4654.4,360080,207270,187480,253.01,9253.5,357.91,-31169,2428.5,113250,183.28,4069.5,3415.7,374350,2936800,164030,38585,4266000,130600,4482.1,1981,5.8459,1389.3,409650,3372.6,10758,68457,105510,937.72,41355,3714.7,518.28,18.43,3875,62462,10978,165120,623.13,1499.5,128600,16512000,444480,311170,87872,210610,54528,887.49,63941,1971.9,27534,130150,7258.4,47.35,54705,10093000,72,RuR
1920800,28934,412.71,918.57,202.94,69620,3801.5,144.96,92064,375690,1717.9,814.9,400670,217120,199820,196.8,8646.6,338.14,746.21,1735.2,98726,159.36,3797.8,3208,337310,3669300,107500,199.56,4310900,148920,6695.4,1814.7,1165.9,2670.2,426930,533.91,9613.3,66662,115360,972.65,95776,1312.1,354.37,43204,3661,30925,9891.4,171960,268.2,1332.9,3804.8,16355000,375690,405610,85496,231650,187.14,516.4,124.46,2085.5,31094,149280,7538.4,9818.6,37691,10627000,0,RuR
1621800,24900,415.38,797.48,202.94,67142,2688.9,80112,88805,343390,2656.4,723.71,364600,196190,183230,161.19,8463.4,287.24,685.41,1053.8,56738,235.97,3265.8,2632.6,309200,3333100,100620,241.17,4006500,122990,3962.3,1538,1117,979.31,352640,272.02,8826.6,64329,104330,799.57,176.75,1238.6,346.68,57461,4518.2,29120,8253.1,164610,185.26,1252.2,4503.8,21544000,343390,376000,76245,209050,319.82,582.83,118.56,1650.5,29316,126870,6633.9,9514.5,32753,9877800,0,RuR
1362900,27323,381.14,925.59,218.26,67287,3134.9,102.79,88805,377710,1585.6,801.48,397570,218280,198480,171.53,8474.4,490.9,694.11,1629.4,66763,194.93,3632.4,3017.2,331460,3628300,106880,210.86,4509600,137200,7296.3,1856,1094.1,2687.3,411330,685.84,9582.5,65558,118280,901.67,332.5,1355.5,331,31731,4883.8,32878,9256.7,168420,252.22,1368.6,4005.2,13375000,377710,379110,84676,225760,188.31,625.18,109.11,1943.3,29616,136700,7248.9,9546.9,36059,10853000,0,RuR
2098600,28093,389.03,854.54,202.94,64451,3021.5,117.05,88805,340790,1961,763.73,376950,206300,189520,162.21,8344.4,397.44,724.03,1520.5,89873,200.49,3444.6,3168.6,319280,3446900,98680,210.54,4234300,132010,4638.9,1636.7,1117,826.41,387670,513.38,9098.1,64527,110830,892.8,175.83,1374.1,397.53,31.44,3140.8,28926,8660.8,158410,173.44,1204.7,3186.6,15497000,340790,392260,79553,220110,161.73,543.68,143.92,1828.5,28736,131660,7232.3,9876.6,33529,10232000,0,RuR
1920800,28934,412.71,918.57,202.94,69620,3801.5,144.96,92064,375690,1717.9,814.9,400670,217120,199820,196.8,8646.6,338.14,746.21,1735.2,98726,159.36,3797.8,3208,337310,3669300,107500,199.56,4310900,148920,6695.4,1814.7,1165.9,2670.2,426930,533.91,9613.3,66662,115360,972.65,95776,1312.1,354.37,43204,3661,30925,9891.4,171960,268.2,1332.9,3804.8,16355000,375690,405610,85496,231650,187.14,516.4,124.46,2085.5,31094,149280,7538.4,9818.6,37691,10627000,0,WT+DMSO
1621800,24900,415.38,797.48,202.94,67142,2688.9,80112,88805,343390,2656.4,723.71,364600,196190,183230,161.19,8463.4,287.24,685.41,1053.8,56738,235.97,3265.8,2632.6,309200,3333100,100620,241.17,4006500,122990,3962.3,1538,1117,979.31,352640,272.02,8826.6,64329,104330,799.57,176.75,1238.6,346.68,57461,4518.2,29120,8253.1,164610,185.26,1252.2,4503.8,21544000,343390,376000,76245,209050,319.82,582.83,118.56,1650.5,29316,126870,6633.9,9514.5,32753,9877800,0,WT+DMSO
1362900,27323,381.14,925.59,218.26,67287,3134.9,102.79,88805,377710,1585.6,801.48,397570,218280,198480,171.53,8474.4,490.9,694.11,1629.4,66763,194.93,3632.4,3017.2,331460,3628300,106880,210.86,4509600,137200,7296.3,1856,1094.1,2687.3,411330,685.84,9582.5,65558,118280,901.67,332.5,1355.5,331,31731,4883.8,32878,9256.7,168420,252.22,1368.6,4005.2,13375000,377710,379110,84676,225760,188.31,625.18,109.11,1943.3,29616,136700,7248.9,9546.9,36059,10853000,0,WT+DMSO
2098600,28093,389.03,854.54,202.94,64451,3021.5,117.05,88805,340790,1961,763.73,376950,206300,189520,162.21,8344.4,397.44,724.03,1520.5,89873,200.49,3444.6,3168.6,319280,3446900,98680,210.54,4234300,132010,4638.9,1636.7,1117,826.41,387670,513.38,9098.1,64527,110830,892.8,175.83,1374.1,397.53,31.44,3140.8,28926,8660.8,158410,173.44,1204.7,3186.6,15497000,340790,392260,79553,220110,161.73,543.68,143.92,1828.5,28736,131660,7232.3,9876.6,33529,10232000,0,WT+DMSO
2241600,25100,383.13,2143.4,202.94,74715,15216,5936,88805,370970,2353.9,1862.4,382980,210700,199210,177.07,8030.7,398.57,643.5,1640.2,101110,172.4,3595.1,2757.8,333440,3317500,130430,39676,4255900,133580,4412.5,1735.4,912.04,225.06,423090,571.34,9473.2,68312,114100,809.49,76897,1362.3,321.49,26352,4930.4,42425,10642,163460,273.28,1342.7,35107,13608000,370970,385750,83034,228280,257.04,475.47,59862,1880.9,27063,141320,6508.8,8829.3,42479,10398000,24,WT+DMSO
